날짜,종가,거래량
2024-07-16,11235.0,1400466
2024-07-17,11315.0,251584
2024-07-18,11030.0,286078
2024-07-19,11300.0,190086
2024-07-22,11225.0,248475
2024-07-23,11335.0,396473
2024-07-24,11640.0,360548
2024-07-25,11285.0,665612
2024-07-26,11410.0,2408515
2024-07-29,11705.0,502786
2024-07-30,11845.0,460037
2024-07-31,11630.0,1305398
2024-08-01,11580.0,288081
2024-08-02,11120.0,564241
2024-08-05,10040.0,1668983
2024-08-06,10655.0,952719
2024-08-07,11190.0,616554
2024-08-08,11340.0,396398
2024-08-09,11440.0,1239492
2024-08-12,11505.0,1490416
2024-08-13,11265.0,1287676
2024-08-14,11260.0,198378
2024-08-16,11515.0,484607
2024-08-19,11525.0,513006
2024-08-20,11480.0,256969
2024-08-21,11355.0,219476
2024-08-22,11300.0,168731
2024-08-23,11680.0,372763
2024-08-26,11845.0,253611
2024-08-27,11730.0,313941
2024-08-28,12040.0,1453422
2024-08-29,11995.0,1378852
2024-08-30,12300.0,596537
2024-09-02,12160.0,445411
2024-09-03,11985.0,316023
2024-09-04,11535.0,900469
2024-09-05,11290.0,696257
2024-09-06,11320.0,480255
2024-09-09,11400.0,224629
2024-09-10,11445.0,222533
2024-09-11,11285.0,583418
2024-09-12,11575.0,222198
2024-09-13,11720.0,120850
2024-09-19,12070.0,660073
2024-09-20,12565.0,722818
2024-09-23,12590.0,605759
2024-09-24,12610.0,431317
2024-09-25,12075.0,620714
2024-09-26,12265.0,1363877
2024-09-27,11920.0,772247
2024-09-30,11895.0,463351
2024-10-02,11800.0,233951
2024-10-04,12265.0,1341033
2024-10-07,12260.0,403301
2024-10-08,12410.0,401152
2024-10-10,12685.0,590817
2024-10-11,13000.0,1557905
2024-10-14,13015.0,760991
2024-10-15,13260.0,524939
2024-10-16,13215.0,467398
2024-10-17,13120.0,305414
2024-10-18,13200.0,459643
2024-10-21,13455.0,631971
2024-10-22,13095.0,354645
2024-10-23,12905.0,342572
2024-10-24,12960.0,244217
2024-10-25,12765.0,263906
2024-10-28,12730.0,1199402
2024-10-29,12770.0,1143358
2024-10-30,12625.0,958300
2024-10-31,12500.0,201302
2024-11-01,11960.0,1178683
2024-11-04,12700.0,1485478
2024-11-05,12485.0,275268
2024-11-06,12690.0,618757
2024-11-07,12245.0,851549
2024-11-08,12710.0,728808
2024-11-11,13055.0,369874
2024-11-12,12580.0,522175
2024-11-13,11970.0,678515
2024-11-14,11960.0,213650
2024-11-15,12195.0,259061
2024-11-18,11800.0,336232
2024-11-19,11455.0,494000
2024-11-20,11140.0,457720
2024-11-21,11065.0,2243471
2024-11-22,10540.0,1065414
2024-11-25,11030.0,391885
2024-11-26,10715.0,770947
2024-11-27,10835.0,184677
2024-11-28,11190.0,276724
2024-11-29,10920.0,157984
2024-12-02,10985.0,216531
2024-12-03,11285.0,1036311
2024-12-04,11065.0,752538
2024-12-05,10995.0,133460
2024-12-06,10905.0,430420
2024-12-09,10275.0,568270
2024-12-10,11115.0,329260
2024-12-11,11050.0,170166
2024-12-12,11285.0,2665684
2024-12-13,11510.0,337078
2024-12-16,11525.0,319805
2024-12-17,11395.0,87104
2024-12-18,11365.0,228688
2024-12-19,11010.0,274823
2024-12-20,10715.0,150539
2024-12-23,11040.0,159576
2024-12-24,11200.0,129392
2024-12-26,11205.0,145119
2024-12-27,11070.0,89472
2024-12-30,11495.0,213639
2025-01-02,11300.0,90087
2025-01-03,11670.0,1054047
2025-01-06,11700.0,180739
2025-01-07,11960.0,283872
2025-01-08,11775.0,831565
2025-01-09,11850.0,108360
2025-01-10,11765.0,196768
2025-01-13,11600.0,748914
2025-01-14,11630.0,121002
2025-01-15,11365.0,224223
2025-01-16,11755.0,286965
2025-01-17,11600.0,173695
2025-01-20,11580.0,563154
2025-01-21,11555.0,201186
2025-01-22,11595.0,133243
2025-01-23,11700.0,163175
2025-01-24,11900.0,200234
2025-01-31,12040.0,247905
2025-02-03,11635.0,140161
2025-02-04,11910.0,195251
2025-02-05,12095.0,353431
2025-02-06,12445.0,435167
2025-02-07,12525.0,239533
