날짜,종가,거래량
2024-07-16,12140.0,1850814
2024-07-17,12485.0,8412321
2024-07-18,12360.0,2165030
2024-07-19,12000.0,1985194
2024-07-22,12390.0,1791413
2024-07-23,12800.0,2761502
2024-07-24,12750.0,2323928
2024-07-25,12400.0,3371958
2024-07-26,13510.0,4864071
2024-07-29,13620.0,1976029
2024-07-30,13445.0,1725233
2024-07-31,13600.0,2702882
2024-08-01,13965.0,1705019
2024-08-02,13350.0,2534238
2024-08-05,11790.0,5563736
2024-08-06,12630.0,4524984
2024-08-07,12710.0,5273662
2024-08-08,13195.0,2384776
2024-08-09,13210.0,1737020
2024-08-12,13160.0,1879630
2024-08-13,12835.0,1586130
2024-08-14,12965.0,1303863
2024-08-16,12965.0,3509026
2024-08-19,13065.0,2154771
2024-08-20,13395.0,1658723
2024-08-21,13245.0,2075662
2024-08-22,12770.0,3644510
2024-08-23,12750.0,1223681
2024-08-26,12370.0,2583999
2024-08-27,12460.0,1537567
2024-08-28,12410.0,1595923
2024-08-29,12300.0,2964017
2024-08-30,12710.0,2175657
2024-09-02,12380.0,1916759
2024-09-03,12400.0,1757805
2024-09-04,12035.0,1712107
2024-09-05,11655.0,2362444
2024-09-06,11505.0,1369659
2024-09-09,11590.0,933278
2024-09-10,11640.0,1254013
2024-09-11,11600.0,1352018
2024-09-12,11670.0,1227862
2024-09-13,12160.0,2056836
2024-09-19,12445.0,1628314
2024-09-20,12735.0,1952080
2024-09-23,12745.0,952654
2024-09-24,12830.0,1691688
2024-09-25,12725.0,1331604
2024-09-26,12765.0,947659
2024-09-27,12110.0,2503187
2024-09-30,12080.0,1316478
2024-10-02,12050.0,1232480
2024-10-04,12205.0,918160
2024-10-07,12070.0,1863668
2024-10-08,12075.0,838027
2024-10-10,12415.0,1346033
2024-10-11,12095.0,1039723
2024-10-14,12180.0,521090
2024-10-15,12535.0,1603741
2024-10-16,12500.0,991189
2024-10-17,12800.0,1153079
2024-10-18,12580.0,686184
2024-10-21,12600.0,557783
2024-10-22,12575.0,752781
2024-10-23,12700.0,1951777
2024-10-24,12595.0,521145
2024-10-25,12670.0,902033
2024-10-28,12235.0,1620940
2024-10-29,12220.0,635684
2024-10-30,12095.0,583527
2024-10-31,11970.0,1359763
2024-11-01,11705.0,1273241
2024-11-04,11725.0,3013375
2024-11-05,11815.0,1278801
2024-11-06,12155.0,2889247
2024-11-07,13350.0,8623425
2024-11-08,13405.0,4669235
2024-11-11,13770.0,2902728
2024-11-12,13430.0,2966610
2024-11-13,13030.0,1883906
2024-11-14,13860.0,3198426
2024-11-15,13765.0,2335402
2024-11-18,13835.0,2346975
2024-11-19,14000.0,3205537
2024-11-20,14345.0,2117694
2024-11-21,14015.0,2539097
2024-11-22,14395.0,2799911
2024-11-25,14705.0,3554474
2024-11-26,14430.0,2306611
2024-11-27,14445.0,2122570
2024-11-28,14245.0,1993364
2024-11-29,13985.0,2086628
2024-12-02,13390.0,3484035
2024-12-03,13605.0,1989318
2024-12-04,13515.0,2888336
2024-12-05,13260.0,1523204
2024-12-06,12985.0,3113309
2024-12-09,12540.0,2337229
2024-12-10,13110.0,1909334
2024-12-11,14040.0,2880933
2024-12-12,14180.0,1418382
2024-12-13,14360.0,1381250
2024-12-16,14240.0,1443473
2024-12-17,14125.0,1338491
2024-12-18,14210.0,2204749
2024-12-19,14445.0,2216428
2024-12-20,14525.0,1883888
2024-12-23,15190.0,2528542
2024-12-24,15090.0,2610999
2024-12-26,15675.0,2306822
2024-12-27,15405.0,2132310
2024-12-30,15360.0,1436522
2025-01-02,15560.0,1652189
2025-01-03,15185.0,2695708
2025-01-06,15300.0,2222132
2025-01-07,16030.0,4205294
2025-01-08,16565.0,3323617
2025-01-09,16730.0,2311752
2025-01-10,16965.0,2049122
2025-01-13,16755.0,2747767
2025-01-14,17075.0,3470790
2025-01-15,18020.0,4570752
2025-01-16,18015.0,3055352
2025-01-17,17985.0,2770148
2025-01-20,18105.0,2870233
2025-01-21,18755.0,3749395
2025-01-22,18275.0,3917422
2025-01-23,17390.0,5139428
2025-01-24,17980.0,5156109
2025-01-31,18065.0,3580243
2025-02-03,17980.0,2636658
2025-02-04,18750.0,3348314
2025-02-05,18330.0,4434604
2025-02-06,18145.0,5275867
2025-02-07,18100.0,3000748
