날짜,종가,거래량
2024-07-16,9765.0,248368
2024-07-17,9770.0,294297
2024-07-18,9750.0,233970
2024-07-19,9775.0,274937
2024-07-22,9755.0,264897
2024-07-23,9790.0,245886
2024-07-24,9635.0,584382
2024-07-25,9570.0,317071
2024-07-26,9625.0,283333
2024-07-29,9630.0,373288
2024-07-30,9620.0,170120
2024-07-31,9530.0,243567
2024-08-01,9575.0,156061
2024-08-02,9400.0,419558
2024-08-05,9010.0,867194
2024-08-06,9330.0,280717
2024-08-07,9255.0,191016
2024-08-08,9145.0,216974
2024-08-09,9210.0,135113
2024-08-12,9245.0,159967
2024-08-13,9210.0,113191
2024-08-14,9315.0,101830
2024-08-16,9400.0,203084
2024-08-19,9320.0,201230
2024-08-20,9400.0,183747
2024-08-21,9400.0,146531
2024-08-22,9430.0,127232
2024-08-23,9355.0,253517
2024-08-26,9385.0,159038
2024-08-27,9350.0,278584
2024-08-28,9340.0,301020
2024-08-29,9160.0,212918
2024-08-30,9190.0,104996
2024-09-02,9260.0,158269
2024-09-03,9270.0,91483
2024-09-04,9235.0,262964
2024-09-05,9280.0,124056
2024-09-06,9295.0,155728
2024-09-09,9220.0,140102
2024-09-10,9260.0,97761
2024-09-11,9295.0,111660
2024-09-12,9335.0,101631
2024-09-13,9340.0,123139
2024-09-19,9355.0,224518
2024-09-20,9415.0,166940
2024-09-23,9415.0,220445
2024-09-24,9455.0,215933
2024-09-25,9480.0,200408
2024-09-26,9495.0,354368
2024-09-27,9335.0,198991
2024-09-30,9325.0,122135
2024-10-02,9330.0,110374
2024-10-04,9285.0,194602
2024-10-07,9375.0,230209
2024-10-08,9345.0,174028
2024-10-10,9355.0,120117
2024-10-11,9300.0,299733
2024-10-14,9225.0,458402
2024-10-15,9240.0,270880
2024-10-16,9245.0,191860
2024-10-17,9300.0,148175
2024-10-18,9315.0,215287
2024-10-21,9310.0,145165
2024-10-22,9305.0,149145
2024-10-23,9315.0,168114
2024-10-24,9400.0,330543
2024-10-25,9480.0,309046
2024-10-28,9520.0,242761
2024-10-29,9525.0,311628
2024-10-30,9385.0,176552
2024-10-31,9335.0,213548
2024-11-01,9325.0,157594
2024-11-04,9310.0,99103
2024-11-05,9330.0,195974
2024-11-06,9450.0,420658
2024-11-07,9525.0,510480
2024-11-08,9530.0,328880
2024-11-11,9605.0,704478
2024-11-12,9695.0,604622
2024-11-13,9625.0,549465
2024-11-14,9640.0,352896
2024-11-15,9590.0,314371
2024-11-18,9700.0,259635
2024-11-19,9725.0,205301
2024-11-20,9775.0,252278
2024-11-21,9775.0,197908
2024-11-22,9790.0,240716
2024-11-25,9850.0,330477
2024-11-26,9820.0,466774
2024-11-27,9820.0,439495
2024-11-28,9695.0,262582
2024-11-29,9670.0,229777
2024-12-02,9735.0,228036
2024-12-03,9735.0,242690
2024-12-04,9790.0,288122
2024-12-05,9810.0,258810
2024-12-06,9845.0,227772
2024-12-09,9950.0,363931
2024-12-10,9915.0,186214
2024-12-11,9970.0,200602
2024-12-12,10000.0,315480
2024-12-13,9975.0,268924
2024-12-16,10015.0,375975
2024-12-17,10130.0,287833
2024-12-18,10065.0,398762
2024-12-19,9940.0,516231
2024-12-20,9975.0,256607
2024-12-23,10150.0,284044
2024-12-24,10075.0,539923
2024-12-26,10185.0,500039
2024-12-27,10025.0,327774
2024-12-30,9905.0,331017
2025-01-02,9860.0,402903
2025-01-03,9720.0,515668
2025-01-06,9905.0,379776
2025-01-07,9865.0,423433
2025-01-08,9770.0,289813
2025-01-09,9765.0,161151
2025-01-10,9780.0,245691
2025-01-13,9760.0,181289
2025-01-14,9835.0,316264
2025-01-15,9820.0,223283
2025-01-16,9925.0,241448
2025-01-17,9905.0,233526
2025-01-20,9965.0,248451
2025-01-21,10000.0,275196
2025-01-22,9980.0,409760
2025-01-23,9980.0,523529
2025-01-24,9795.0,361113
2025-01-31,9875.0,352803
2025-02-03,9790.0,341801
2025-02-04,9805.0,290239
2025-02-05,9815.0,308032
2025-02-06,9760.0,469202
2025-02-07,9720.0,446078
