날짜,종가,거래량
2024-07-16,9430.0,6487
2024-07-17,9355.0,14082
2024-07-18,9240.0,14545
2024-07-19,9245.0,8627
2024-07-22,9215.0,4997
2024-07-23,9285.0,3548
2024-07-24,9250.0,4062
2024-07-25,9010.0,12144
2024-07-26,8920.0,10406
2024-07-29,9150.0,5693
2024-07-30,9015.0,3329
2024-07-31,9050.0,1845
2024-08-01,8965.0,8519
2024-08-02,8880.0,6745
2024-08-05,8500.0,15694
2024-08-06,8750.0,6192
2024-08-07,8700.0,3939
2024-08-08,8745.0,4228
2024-08-09,8740.0,12251
2024-08-12,8775.0,4908
2024-08-13,8815.0,3454
2024-08-14,8875.0,2642
2024-08-16,9115.0,10705
2024-08-19,9000.0,2883
2024-08-20,9155.0,8109
2024-08-21,9220.0,7450
2024-08-22,9325.0,17610
2024-08-23,9385.0,3732
2024-08-26,9345.0,3102
2024-08-27,9360.0,3567
2024-08-28,9300.0,3595
2024-08-29,9195.0,3243
2024-08-30,9360.0,4711
2024-09-02,9300.0,2641
2024-09-03,9315.0,2524
2024-09-04,9265.0,9473
2024-09-05,9000.0,6966
2024-09-06,8695.0,8767
2024-09-09,8610.0,5504
2024-09-10,8610.0,2649
2024-09-11,8540.0,4095
2024-09-12,8505.0,4931
2024-09-13,8495.0,6726
2024-09-19,8435.0,8668
2024-09-20,8680.0,12575
2024-09-23,8470.0,16821
2024-09-24,8470.0,11235
2024-09-25,8660.0,11157
2024-09-26,8710.0,12859
2024-09-27,9150.0,168543
2024-09-30,9380.0,37533
2024-10-02,9035.0,14018
2024-10-04,9030.0,5594
2024-10-07,9050.0,9259
2024-10-08,9210.0,11914
2024-10-10,9105.0,6232
2024-10-11,9060.0,3030
2024-10-14,9095.0,10085
2024-10-15,9080.0,8143
2024-10-16,8915.0,8137
2024-10-17,8800.0,9206
2024-10-18,8995.0,10396
2024-10-21,9040.0,8000
2024-10-22,8990.0,2849
2024-10-23,9100.0,9641
2024-10-24,9060.0,6857
2024-10-25,9195.0,12948
2024-10-28,9160.0,9824
2024-10-29,9230.0,14110
2024-10-30,9145.0,3963
2024-10-31,8950.0,28227
2024-11-01,8930.0,7231
2024-11-04,8960.0,2763
2024-11-05,8990.0,3909
2024-11-06,8815.0,10282
2024-11-07,8895.0,33152
2024-11-08,9050.0,15283
2024-11-11,8810.0,8729
2024-11-12,8745.0,6314
2024-11-13,8510.0,14328
2024-11-14,8430.0,14355
2024-11-15,8580.0,9850
2024-11-18,8510.0,7337
2024-11-19,8605.0,5799
2024-11-20,8525.0,4775
2024-11-21,8480.0,7295
2024-11-22,8440.0,16249
2024-11-25,8530.0,22034
2024-11-26,8635.0,10660
2024-11-27,8635.0,6259
2024-11-28,8615.0,1789
2024-11-29,8600.0,8161
2024-12-02,8695.0,9272
2024-12-03,8830.0,8326
2024-12-04,8910.0,8024
2024-12-05,8970.0,8379
2024-12-06,9115.0,18865
2024-12-09,9360.0,34821
2024-12-10,9525.0,19480
2024-12-11,9410.0,10395
2024-12-12,9450.0,14489
2024-12-13,9480.0,13672
2024-12-16,9480.0,7822
2024-12-17,9420.0,7769
2024-12-18,9440.0,7460
2024-12-19,9435.0,10502
2024-12-20,9325.0,4896
2024-12-23,9415.0,5731
2024-12-24,9405.0,1546
2024-12-26,9450.0,16053
2024-12-27,9525.0,15656
2024-12-30,9585.0,8534
2025-01-02,9495.0,6825
2025-01-03,9455.0,7643
2025-01-06,9300.0,7868
2025-01-07,9525.0,12502
2025-01-08,9590.0,7793
2025-01-09,9560.0,5197
2025-01-10,9630.0,4943
2025-01-13,9510.0,3192
2025-01-14,9420.0,5604
2025-01-15,9500.0,2179
2025-01-16,9525.0,5228
2025-01-17,10225.0,75491
2025-01-20,10285.0,14472
2025-01-21,10235.0,11856
2025-01-22,10430.0,11535
2025-01-23,10505.0,6643
2025-01-24,10635.0,17233
2025-01-31,10900.0,18362
2025-02-03,10760.0,31832
2025-02-04,10845.0,24394
2025-02-05,10965.0,8150
2025-02-06,11000.0,7030
2025-02-07,11025.0,11895
2025-02-10,10800.0,8819
2025-02-11,10910.0,11887
2025-02-12,11140.0,22805
2025-02-13,11255.0,42759
2025-02-14,11610.0,27080
