날짜,종가,거래량
2024-07-16,10885.0,203640
2024-07-17,10990.0,211166
2024-07-18,10825.0,197954
2024-07-19,10830.0,166565
2024-07-22,10745.0,150775
2024-07-23,10855.0,167351
2024-07-24,11070.0,219014
2024-07-25,10800.0,173603
2024-07-26,10950.0,160099
2024-07-29,11015.0,186154
2024-07-30,11020.0,175793
2024-07-31,10960.0,179869
2024-08-01,11005.0,168754
2024-08-02,10780.0,201863
2024-08-05,10195.0,197413
2024-08-06,10500.0,168653
2024-08-07,10610.0,161103
2024-08-08,10580.0,177296
2024-08-09,10745.0,150365
2024-08-12,10795.0,144070
2024-08-13,10905.0,139636
2024-08-14,10910.0,158349
2024-08-16,11090.0,167062
2024-08-19,10930.0,170181
2024-08-20,10945.0,172732
2024-08-21,10910.0,179800
2024-08-22,10965.0,165483
2024-08-23,10925.0,150922
2024-08-26,10855.0,150675
2024-08-27,10860.0,155463
2024-08-28,10925.0,168250
2024-08-29,10850.0,199386
2024-08-30,10970.0,130293
2024-09-02,11010.0,157913
2024-09-03,11010.0,195032
2024-09-04,10770.0,190598
2024-09-05,10815.0,172076
2024-09-06,10640.0,162972
2024-09-09,10600.0,168822
2024-09-10,10825.0,165465
2024-09-11,10825.0,172799
2024-09-12,10840.0,193627
2024-09-13,10975.0,172269
2024-09-19,11005.0,142600
2024-09-20,11060.0,161213
2024-09-23,11235.0,154110
2024-09-24,11325.0,146759
2024-09-25,11330.0,163354
2024-09-26,11340.0,183606
2024-09-27,11210.0,169881
2024-09-30,11185.0,136100
2024-10-02,11445.0,201099
2024-10-04,11500.0,167078
2024-10-07,11870.0,179324
2024-10-08,11840.0,226045
2024-10-10,11910.0,181331
2024-10-11,11780.0,170863
2024-10-14,12030.0,201713
2024-10-15,12240.0,212487
2024-10-16,12220.0,252931
2024-10-17,12500.0,324398
2024-10-18,12490.0,294183
2024-10-21,12515.0,273194
2024-10-22,12615.0,218376
2024-10-23,12340.0,290718
2024-10-24,12310.0,201415
2024-10-25,12325.0,220867
2024-10-28,12320.0,185193
2024-10-29,12320.0,189801
2024-10-30,12225.0,172257
2024-10-31,12125.0,169783
2024-11-01,11955.0,188798
2024-11-04,12005.0,199120
2024-11-05,12030.0,201458
2024-11-06,12350.0,206561
2024-11-07,12895.0,572079
2024-11-08,12905.0,546306
2024-11-11,13315.0,814075
2024-11-12,13525.0,682044
2024-11-13,13425.0,668266
2024-11-14,13610.0,790697
2024-11-15,12975.0,511847
2024-11-18,13050.0,464056
2024-11-19,12870.0,349273
2024-11-20,13030.0,326390
2024-11-21,12995.0,219805
2024-11-22,13300.0,322553
2024-11-25,13440.0,309844
2024-11-26,13105.0,394102
2024-11-27,13235.0,354920
2024-11-28,13210.0,293327
2024-11-29,13245.0,201026
2024-12-02,13560.0,188612
2024-12-03,13300.0,205070
2024-12-04,13405.0,115471
2024-12-05,13490.0,125192
2024-12-06,13445.0,124745
2024-12-09,13625.0,104025
2024-12-10,13335.0,88634
2024-12-11,13300.0,55760
2024-12-12,13395.0,106378
2024-12-13,13290.0,138277
2024-12-16,13455.0,71590
2024-12-17,13710.0,105682
2024-12-18,13615.0,77841
2024-12-19,13255.0,114816
2024-12-20,13255.0,64680
2024-12-23,13480.0,38526
2024-12-24,13560.0,37056
2024-12-26,13860.0,165888
2024-12-27,14050.0,375295
2024-12-30,13950.0,141793
2025-01-02,13660.0,75845
2025-01-03,13600.0,86482
2025-01-06,14110.0,118528
2025-01-07,13850.0,113443
2025-01-08,13665.0,99065
2025-01-09,13685.0,90759
2025-01-10,13785.0,41342
2025-01-13,13650.0,62815
2025-01-14,13450.0,74368
2025-01-15,13520.0,46436
2025-01-16,13600.0,54335
2025-01-17,13745.0,36960
2025-01-20,13750.0,73776
2025-01-21,13760.0,186308
2025-01-22,14360.0,315581
2025-01-23,14205.0,238166
2025-01-24,14410.0,405319
2025-01-31,14430.0,224380
2025-02-03,14130.0,209505
2025-02-04,14620.0,393011
2025-02-05,14590.0,239413
2025-02-06,14605.0,272622
2025-02-07,14515.0,144091
2025-02-10,14380.0,261056
2025-02-11,14800.0,219976
2025-02-12,14630.0,229035
2025-02-13,14650.0,166000
2025-02-14,14700.0,171701
