날짜,종가,거래량
2024-07-16,10930.0,945
2024-07-17,10855.0,242
2024-07-18,10520.0,457
2024-07-19,10580.0,114
2024-07-22,10435.0,1249
2024-07-23,10565.0,115
2024-07-24,10365.0,49
2024-07-25,10270.0,2705
2024-07-26,10175.0,1204
2024-07-29,10055.0,21
2024-07-30,9990.0,154
2024-07-31,10020.0,520
2024-08-01,10010.0,2275
2024-08-02,9710.0,66
2024-08-05,9195.0,664
2024-08-06,9310.0,2544
2024-08-07,9675.0,699
2024-08-08,9630.0,130
2024-08-09,9800.0,257
2024-08-12,9830.0,904
2024-08-13,9945.0,912
2024-08-14,9975.0,153
2024-08-16,10080.0,316
2024-08-19,10125.0,1400
2024-08-20,10110.0,3
2024-08-21,9985.0,169
2024-08-22,9980.0,103
2024-08-23,9980.0,0
2024-08-26,9980.0,0
2024-08-27,9760.0,4
2024-08-28,9775.0,100
2024-08-29,9615.0,149
2024-08-30,9925.0,1360
2024-09-02,9920.0,0
2024-09-03,9810.0,6
2024-09-04,9545.0,273
2024-09-05,9505.0,5
2024-09-06,9280.0,300
2024-09-09,9390.0,116
2024-09-10,9325.0,27
2024-09-11,9280.0,1
2024-09-12,9535.0,409
2024-09-13,9535.0,2
2024-09-19,9520.0,102
2024-09-20,9660.0,128
2024-09-23,9660.0,0
2024-09-24,10040.0,158
2024-09-25,10190.0,7899
2024-09-26,10520.0,603
2024-09-27,10685.0,1334
2024-09-30,11095.0,6268
2024-10-02,11595.0,5480
2024-10-04,11595.0,1397
2024-10-07,11915.0,1362
2024-10-08,11310.0,8314
2024-10-10,11390.0,591
2024-10-11,11200.0,217
2024-10-14,11400.0,5510
2024-10-15,11395.0,1029
2024-10-16,11085.0,8204
2024-10-17,11205.0,107
2024-10-18,11495.0,4775
2024-10-21,11465.0,116
2024-10-22,11600.0,456
2024-10-23,11650.0,109
2024-10-24,11450.0,205
2024-10-25,11460.0,755
2024-10-28,11470.0,163
2024-10-29,11425.0,32
2024-10-30,11355.0,219
2024-10-31,11420.0,13492
2024-11-01,11280.0,0
2024-11-04,11395.0,32
2024-11-05,11400.0,4818
2024-11-06,11730.0,530
2024-11-07,11755.0,479
2024-11-08,11800.0,4349
2024-11-11,11650.0,25
2024-11-12,11545.0,521
2024-11-13,11410.0,905
2024-11-14,11395.0,601
2024-11-15,11320.0,3
2024-11-18,11135.0,14
2024-11-19,11130.0,2
2024-11-20,11295.0,1
2024-11-21,11315.0,592
2024-11-22,11285.0,279
2024-11-25,11270.0,1
2024-11-26,11050.0,173
2024-11-27,10900.0,779
2024-11-28,11020.0,14
2024-11-29,10905.0,33
2024-12-02,11065.0,410
2024-12-03,11140.0,403
2024-12-04,11280.0,374
2024-12-05,11465.0,745
2024-12-06,11545.0,206
2024-12-09,11710.0,122
2024-12-10,11995.0,3035
2024-12-11,11970.0,7
2024-12-12,11885.0,115
2024-12-13,11900.0,8
2024-12-16,11830.0,575
2024-12-17,11850.0,119
2024-12-18,11875.0,437
2024-12-19,11900.0,404
2024-12-20,12025.0,426
2024-12-23,12090.0,32
2024-12-24,12120.0,55
2024-12-26,12120.0,202
2024-12-27,12450.0,446
2024-12-30,12285.0,999
2025-01-02,11920.0,1429
2025-01-03,12080.0,21
2025-01-06,12080.0,60
2025-01-07,12065.0,663
2025-01-08,11915.0,1086
2025-01-09,11770.0,126
2025-01-10,11765.0,54
2025-01-13,11405.0,2907
2025-01-14,11705.0,2129
2025-01-15,11500.0,1756
2025-01-16,11755.0,16
2025-01-17,11600.0,569
2025-01-20,11890.0,116
2025-01-21,11960.0,564
2025-01-22,11960.0,100
2025-01-23,11920.0,1110
2025-01-24,11995.0,492
2025-01-31,12260.0,14038
2025-02-03,12090.0,4659
2025-02-04,12290.0,1761
2025-02-05,12445.0,12266
2025-02-06,12585.0,84
2025-02-07,12700.0,62
2025-02-10,12810.0,2510
2025-02-11,13005.0,950
2025-02-12,13000.0,583
2025-02-13,13340.0,8997
2025-02-14,13085.0,817
2025-02-17,13280.0,2186
2025-02-18,13565.0,1683
2025-02-19,13520.0,2129
2025-02-20,13375.0,12130
2025-02-21,13865.0,5844
2025-02-24,13800.0,5406
2025-02-25,13620.0,8815
2025-02-26,14270.0,20807
2025-02-27,14020.0,10316
2025-02-28,13500.0,10911
2025-03-04,13490.0,3091
2025-03-05,13710.0,3345
2025-03-06,14375.0,76889
2025-03-07,14315.0,25327
2025-03-10,14245.0,8402
2025-03-11,14035.0,4562
2025-03-12,13880.0,17448
2025-03-13,13465.0,3402
2025-03-14,14245.0,9035
