날짜,종가,거래량
2024-07-16,22195.0,217844
2024-07-17,21705.0,170216
2024-07-18,20990.0,798436
2024-07-19,20820.0,122574
2024-07-22,20570.0,232613
2024-07-23,20860.0,89148
2024-07-24,20790.0,94323
2024-07-25,19685.0,213137
2024-07-26,19530.0,78283
2024-07-29,19750.0,60860
2024-07-30,19520.0,92546
2024-07-31,19285.0,157453
2024-08-01,19810.0,74610
2024-08-02,18650.0,291198
2024-08-05,17255.0,799137
2024-08-06,18055.0,690047
2024-08-07,18345.0,97803
2024-08-08,17905.0,182354
2024-08-09,18390.0,77551
2024-08-12,18630.0,58205
2024-08-13,18745.0,46305
2024-08-14,19110.0,109426
2024-08-16,19755.0,74770
2024-08-19,19295.0,55390
2024-08-20,19680.0,66906
2024-08-21,19525.0,63192
2024-08-22,19650.0,32558
2024-08-23,19330.0,52697
2024-08-26,19395.0,62028
2024-08-27,19090.0,39386
2024-08-28,19240.0,48766
2024-08-29,18660.0,90869
2024-08-30,18845.0,568930
2024-09-02,19080.0,29360
2024-09-03,19010.0,36562
2024-09-04,18045.0,93695
2024-09-05,18015.0,26227
2024-09-06,17910.0,56541
2024-09-09,17715.0,65355
2024-09-10,18100.0,18593
2024-09-11,18310.0,50988
2024-09-12,19095.0,82573
2024-09-13,19150.0,33811
2024-09-19,19410.0,91257
2024-09-20,19670.0,51987
2024-09-23,20010.0,149942
2024-09-24,20125.0,40852
2024-09-25,20155.0,40726
2024-09-26,20770.0,121231
2024-09-27,20275.0,653062
2024-09-30,20015.0,63201
2024-10-02,19995.0,60364
2024-10-04,20540.0,38786
2024-10-07,21240.0,78834
2024-10-08,20990.0,279019
2024-10-10,21405.0,187073
2024-10-11,21365.0,58535
2024-10-14,21550.0,54896
2024-10-15,21860.0,85045
2024-10-16,21540.0,547421
2024-10-17,21845.0,84171
2024-10-18,21865.0,128988
2024-10-21,21930.0,84460
2024-10-22,22090.0,79585
2024-10-23,22070.0,78176
2024-10-24,21970.0,80426
2024-10-25,22340.0,127884
2024-10-28,22540.0,654689
2024-10-29,22670.0,120377
2024-10-30,22850.0,115081
2024-10-31,22065.0,1654057
2024-11-01,21875.0,158072
2024-11-04,21965.0,74071
2024-11-05,21810.0,62124
2024-11-06,22930.0,198052
2024-11-07,23780.0,198051
2024-11-08,24040.0,239278
2024-11-11,24625.0,471539
2024-11-12,24795.0,220446
2024-11-13,24250.0,229341
2024-11-14,24345.0,186002
2024-11-15,23735.0,113962
2024-11-18,23920.0,130467
2024-11-19,23895.0,96048
2024-11-20,24500.0,173528
2024-11-21,24100.0,202828
2024-11-22,24590.0,193183
2024-11-25,25135.0,227024
2024-11-26,24500.0,145223
2024-11-27,24560.0,201126
2024-11-28,24245.0,61028
2024-11-29,24290.0,41422
2024-12-02,24645.0,119091
2024-12-03,24690.0,226074
2024-12-04,25035.0,169268
2024-12-05,25490.0,168695
2024-12-06,25695.0,194911
2024-12-09,26590.0,312386
2024-12-10,25615.0,270263
2024-12-11,25235.0,182617
2024-12-12,25840.0,135415
2024-12-13,25705.0,307530
2024-12-16,26180.0,213346
2024-12-17,26950.0,297182
2024-12-18,26800.0,174013
2024-12-19,25800.0,289636
2024-12-20,25225.0,243573
2024-12-23,26485.0,195525
2024-12-24,26660.0,156245
2024-12-26,27515.0,308530
2024-12-27,27865.0,290945
2024-12-30,27330.0,391652
2025-01-02,26470.0,354305
2025-01-03,26855.0,206063
2025-01-06,27945.0,311694
2025-01-07,28120.0,915069
2025-01-08,27165.0,435944
2025-01-09,25810.0,432547
2025-01-10,25805.0,159373
2025-01-13,25585.0,417536
2025-01-14,25645.0,700290
2025-01-15,25480.0,160967
2025-01-16,26485.0,261882
2025-01-17,26510.0,209048
2025-01-20,26605.0,232344
2025-01-21,26495.0,738753
2025-01-22,27555.0,681955
2025-01-23,27565.0,608017
2025-01-24,27840.0,677207
2025-01-31,26905.0,550491
2025-02-03,25810.0,635867
2025-02-04,26935.0,377358
2025-02-05,26985.0,302706
2025-02-06,27665.0,396366
2025-02-07,27630.0,334433
2025-02-10,27750.0,339939
2025-02-11,28030.0,414199
2025-02-12,27585.0,330371
2025-02-13,27815.0,270047
2025-02-14,27970.0,304883
