날짜,종가,거래량,분배금,배당락일
2024-07-16,10430.0,45077,-,-
2024-07-17,10500.0,34659,-,-
2024-07-18,10505.0,20040,-,-
2024-07-19,10445.0,33549,-,-
2024-07-22,10450.0,43346,-,-
2024-07-23,10340.0,27664,-,-
2024-07-24,10325.0,39329,-,-
2024-07-25,10195.0,63804,-,-
2024-07-26,10280.0,12758,-,-
2024-07-29,10360.0,46895,-,-
2024-07-30,10385.0,31425,-,-
2024-07-31,10390.0,59166,-,-
2024-08-01,10470.0,37324,-,-
2024-08-02,10685.0,138605,-,-
2024-08-05,11120.0,232269,-,-
2024-08-06,10990.0,74871,-,-
2024-08-07,10850.0,86540,-,-
2024-08-08,10790.0,62210,-,-
2024-08-09,10600.0,89205,-,-
2024-08-12,10735.0,48250,-,-
2024-08-13,10770.0,99984,-,-
2024-08-14,10800.0,63314,-,-
2024-08-16,10795.0,56732,-,-
2024-08-19,10650.0,56763,-,-
2024-08-20,10680.0,33828,-,-
2024-08-21,10880.0,23208,-,-
2024-08-22,10815.0,46635,-,-
2024-08-23,10755.0,48508,-,-
2024-08-26,10770.0,95215,-,-
2024-08-27,10715.0,32634,-,-
2024-08-28,10770.0,32151,-,-
2024-08-29,10635.0,23849,-,-
2024-08-30,10655.0,9556,-,-
2024-09-02,10485.0,75746,-,-
2024-09-03,10560.0,10370,-,-
2024-09-04,10760.0,115032,-,-
2024-09-05,10845.0,72548,-,-
2024-09-06,10900.0,56136,-,-
2024-09-09,10895.0,26542,-,-
2024-09-10,11020.0,50070,-,-
2024-09-11,11125.0,43590,-,-
2024-09-12,11025.0,58977,-,-
2024-09-13,10995.0,33960,-,-
2024-09-19,10850.0,39671,-,-
2024-09-20,10850.0,33548,-,-
2024-09-23,10770.0,43846,-,-
2024-09-24,10750.0,20357,-,-
2024-09-25,10760.0,21037,-,-
2024-09-26,10615.0,41759,-,-
2024-09-27,10535.0,17736,-,-
2024-09-30,10515.0,32524,-,-
2024-10-02,10675.0,25081,-,-
2024-10-04,10530.0,78790,-,-
2024-10-07,10470.0,45238,-,-
2024-10-08,10400.0,18417,-,-
2024-10-10,10305.0,34028,-,-
2024-10-11,10290.0,40250,-,-
2024-10-14,10240.0,17796,-,-
2024-10-15,10345.0,36451,-,-
2024-10-16,10510.0,75741,-,-
2024-10-17,10515.0,16581,-,-
2024-10-18,10315.0,16068,-,-
2024-10-21,10420.0,34322,-,-
2024-10-22,10165.0,46695,-,-
2024-10-23,10200.0,50141,-,-
2024-10-24,10250.0,30434,-,-
2024-10-25,10420.0,46245,-,-
2024-10-28,10150.0,40241,-,-
2024-10-29,10240.0,31851,-,-
2024-10-30,10220.0,31468,-,-
2024-10-31,10230.0,15673,-,-
2024-11-01,10295.0,11669,-,-
2024-11-04,10100.0,39590,-,-
2024-11-05,10240.0,123906,-,-
