날짜,종가,거래량,분배금,배당락일
2024-11-06,10135.0,98801,-,-
2024-11-07,10090.0,46265,-,-
2024-11-08,10160.0,38616,-,-
2024-11-11,10275.0,46849,-,-
2024-11-12,10375.0,66939,-,-
2024-11-13,10145.0,37127,-,-
2024-11-14,10075.0,55186,-,-
2024-11-15,10070.0,29615,-,-
2024-11-18,10030.0,35034,-,-
2024-11-19,10010.0,8685,-,-
2024-11-20,10025.0,10590,-,-
2024-11-21,10100.0,12529,-,-
2024-11-22,10125.0,22089,-,-
2024-11-25,10250.0,46058,-,-
2024-11-26,10335.0,123766,-,-
2024-11-27,10320.0,13995,-,-
2024-11-28,10355.0,37726,-,-
2024-11-29,10400.0,16642,-,-
2024-12-02,10490.0,67893,-,-
2024-12-03,10520.0,39908,-,-
2024-12-04,10505.0,28432,-,-
2024-12-05,10685.0,35657,-,-
2024-12-06,10760.0,40787,-,-
2024-12-09,10885.0,52118,-,-
2024-12-10,10650.0,21996,-,-
2024-12-11,10595.0,40975,-,-
2024-12-12,10460.0,88314,-,-
2024-12-13,10375.0,19156,-,-
2024-12-16,10290.0,53700,-,-
2024-12-17,10310.0,19211,-,-
2024-12-18,10330.0,15733,-,-
2024-12-19,10215.0,38493,-,-
2024-12-20,10110.0,45874,-,-
2024-12-23,10160.0,17136,-,-
2024-12-24,10075.0,28146,-,-
2024-12-26,10140.0,39027,-,-
2024-12-27,10140.0,25545,-,-
2024-12-30,10090.0,36049,-,-
2025-01-02,10040.0,63301,-,-
2025-01-03,10125.0,59827,-,-
2025-01-06,10025.0,66173,-,-
2025-01-07,9925.0,56542,-,-
2025-01-08,9795.0,39062,-,-
2025-01-09,9850.0,21318,-,-
2025-01-10,9825.0,22718,-,-
2025-01-13,9790.0,24804,-,-
2025-01-14,9795.0,21260,-,-
2025-01-15,9760.0,26669,-,-
2025-01-16,9900.0,63496,-,-
2025-01-17,9945.0,25518,-,-
2025-01-20,9880.0,14744,-,-
2025-01-21,9945.0,30096,-,-
2025-01-22,9905.0,19035,-,-
2025-01-23,9890.0,13474,-,-
2025-01-24,9750.0,62983,-,-
2025-01-31,10050.0,63074,-,-
2025-02-03,10140.0,84854,-,-
2025-02-04,10010.0,59327,-,-
2025-02-05,10035.0,38802,-,-
2025-02-06,10285.0,55898,-,-
2025-02-07,10240.0,12681,-,-
2025-02-10,10195.0,17789,-,-
2025-02-11,10140.0,28793,-,-
2025-02-12,10065.0,18335,-,-
2025-02-13,9905.0,65684,-,-
2025-02-14,10070.0,24682,-,-
2025-02-17,10080.0,53891,-,-
2025-02-18,10075.0,34774,-,-
2025-02-19,9955.0,51938,-,-
2025-02-20,10020.0,41233,-,-
2025-02-21,10010.0,23868,-,-
2025-02-24,10060.0,53596,-,-
2025-02-25,10180.0,64528,-,-
2025-02-26,10320.0,76768,-,-
2025-02-27,10450.0,79067,-,-
2025-02-28,10600.0,123062,-,-
2025-03-04,10670.0,94047,-,-
2025-03-05,10405.0,81732,-,-
2025-03-06,10235.0,75864,-,-
2025-03-07,10400.0,47874,-,-
2025-03-10,10340.0,21227,-,-
2025-03-11,10525.0,73765,-,-
2025-03-12,10320.0,70591,-,-
2025-03-13,10305.0,38084,-,-
2025-03-14,10310.0,48076,-,-
