날짜,종가,거래량
2024-07-16,15515.0,20106
2024-07-17,14985.0,49142
2024-07-18,14190.0,480382
2024-07-19,14145.0,41355
2024-07-22,13740.0,22600
2024-07-23,13760.0,79487
2024-07-24,13755.0,79916
2024-07-25,13050.0,119442
2024-07-26,12720.0,186093
2024-07-29,12940.0,21751
2024-07-30,12800.0,800817
2024-07-31,13470.0,39700
2024-08-01,13325.0,16708
2024-08-02,12335.0,78825
2024-08-05,10730.0,1034811
2024-08-06,11720.0,1068395
2024-08-07,11900.0,107918
2024-08-08,11940.0,34372
2024-08-09,11780.0,43597
2024-08-12,11830.0,15321
2024-08-13,12375.0,35044
2024-08-14,12460.0,29093
2024-08-16,13205.0,231347
2024-08-19,12925.0,12795
2024-08-20,13045.0,26203
2024-08-21,12950.0,7541
2024-08-22,13025.0,11618
2024-08-23,12910.0,28347
2024-08-26,12670.0,6442
2024-08-27,12540.0,4771
2024-08-28,12845.0,22788
2024-08-29,12665.0,7138
2024-08-30,12860.0,230307
2024-09-02,12725.0,10600
2024-09-03,12535.0,14406
2024-09-04,11610.0,49841
2024-09-05,11545.0,13638
2024-09-06,11335.0,18424
2024-09-09,11180.0,21606
2024-09-10,11200.0,11117
2024-09-11,11150.0,3642
2024-09-12,11475.0,22242
2024-09-13,11640.0,4691
2024-09-19,11430.0,11559
2024-09-20,11780.0,21555
2024-09-23,11715.0,2815
2024-09-24,11540.0,8755
2024-09-25,11615.0,10647
2024-09-26,12065.0,12387
2024-09-27,12505.0,6658
2024-09-30,11900.0,20849
2024-10-02,11770.0,10570
2024-10-04,12065.0,5477
2024-10-07,12165.0,12998
2024-10-08,12065.0,4415
2024-10-10,12085.0,8748
2024-10-11,12100.0,19815
2024-10-14,12070.0,1739
2024-10-15,12620.0,18351
2024-10-16,12005.0,27117
2024-10-17,11870.0,17171
2024-10-18,11885.0,3696
2024-10-21,12135.0,12551
2024-10-22,11875.0,4068
2024-10-23,11630.0,11708
2024-10-24,11640.0,8831
2024-10-25,11595.0,4806
2024-10-28,11945.0,50425
2024-10-29,12000.0,12031
2024-10-30,12360.0,15626
2024-10-31,12410.0,749835
2024-11-01,11750.0,15333
2024-11-04,11740.0,9100
2024-11-05,12070.0,11296
2024-11-06,12470.0,69307
2024-11-07,12325.0,17139
2024-11-08,12205.0,5177
2024-11-11,12165.0,11490
2024-11-12,11955.0,9522
2024-11-13,11685.0,16744
2024-11-14,11360.0,21568
2024-11-15,11300.0,13791
2024-11-18,11220.0,11142
2024-11-19,11270.0,5897
2024-11-20,11250.0,2484
2024-11-21,11305.0,5577
2024-11-22,11330.0,4598
2024-11-25,11415.0,11839
2024-11-26,11075.0,9471
2024-11-27,11075.0,3981
2024-11-28,11235.0,10649
2024-11-29,11210.0,7644
2024-12-02,11360.0,15022
2024-12-03,11945.0,33753
2024-12-04,11825.0,7003
2024-12-05,11840.0,18007
2024-12-06,11600.0,13786
2024-12-09,11560.0,7531
2024-12-10,11670.0,15919
2024-12-11,11570.0,7425
2024-12-12,11680.0,15165
2024-12-13,11640.0,3498
2024-12-16,11680.0,18920
2024-12-17,11515.0,8045
2024-12-18,11605.0,2869
2024-12-19,11465.0,7123
2024-12-20,11200.0,6362
2024-12-23,11450.0,9945
2024-12-24,11395.0,5693
2024-12-26,11495.0,24096
2024-12-27,11760.0,10222
2024-12-30,11660.0,11074
2025-01-02,11595.0,16548
2025-01-03,11525.0,6259
2025-01-06,11700.0,7406
2025-01-07,12305.0,93143
2025-01-08,12450.0,32243
2025-01-09,12250.0,4748
2025-01-10,12300.0,10094
2025-01-13,12405.0,12749
2025-01-14,11815.0,35474
2025-01-15,11585.0,9406
2025-01-16,11960.0,19736
2025-01-17,11955.0,4344
2025-01-20,12085.0,13690
2025-01-21,12170.0,17222
2025-01-22,12635.0,22255
2025-01-23,12580.0,7721
2025-01-24,12460.0,10442
2025-01-31,12070.0,5673
2025-02-03,11720.0,7414
2025-02-04,11880.0,9457
2025-02-05,11900.0,5912
2025-02-06,12330.0,12167
2025-02-07,12385.0,11934
2025-02-10,12475.0,6599
2025-02-11,12445.0,7767
2025-02-12,12285.0,3954
2025-02-13,12340.0,2941
2025-02-14,12310.0,10571
