날짜,종가,거래량
2024-07-16,13675.0,160379
2024-07-17,13640.0,148857
2024-07-18,13575.0,114050
2024-07-19,13520.0,99463
2024-07-22,13435.0,65912
2024-07-23,13490.0,85315
2024-07-24,13425.0,63338
2024-07-25,13280.0,84696
2024-07-26,13290.0,57304
2024-07-29,13410.0,72808
2024-07-30,13300.0,56480
2024-07-31,13270.0,91828
2024-08-01,13335.0,80945
2024-08-02,13060.0,95685
2024-08-05,12715.0,247706
2024-08-06,12845.0,120347
2024-08-07,12830.0,130619
2024-08-08,12810.0,45226
2024-08-09,12890.0,59804
2024-08-12,12990.0,62174
2024-08-13,13020.0,58976
2024-08-14,13095.0,73795
2024-08-16,13260.0,117306
2024-08-19,13060.0,97554
2024-08-20,13195.0,66102
2024-08-21,13210.0,44165
2024-08-22,13245.0,48950
2024-08-23,13195.0,48678
2024-08-26,13240.0,61894
2024-08-27,13180.0,59778
2024-08-28,13280.0,30473
2024-08-29,13150.0,41528
2024-08-30,13245.0,30533
2024-09-02,13290.0,92179
2024-09-03,13310.0,46570
2024-09-04,13085.0,115890
2024-09-05,13070.0,90169
2024-09-06,12975.0,106389
2024-09-09,12940.0,83563
2024-09-10,13060.0,129396
2024-09-11,13015.0,70655
2024-09-12,13140.0,68971
2024-09-13,13170.0,40202
2024-09-19,13295.0,146600
2024-09-20,13355.0,89658
2024-09-23,13390.0,63277
2024-09-24,13415.0,63968
2024-09-25,13430.0,54480
2024-09-26,13440.0,122021
2024-09-27,13410.0,82323
2024-09-30,13310.0,82525
2024-10-02,13330.0,75461
2024-10-04,13430.0,63424
2024-10-07,13540.0,106461
2024-10-08,13535.0,37903
2024-10-10,13610.0,65245
2024-10-11,13605.0,73871
2024-10-14,13710.0,64824
2024-10-15,13830.0,201295
2024-10-16,13740.0,110341
2024-10-17,13810.0,44765
2024-10-18,13805.0,59737
2024-10-21,13900.0,63866
2024-10-22,13845.0,75093
2024-10-23,13860.0,64246
2024-10-24,13795.0,73123
2024-10-25,13890.0,47623
2024-10-28,13860.0,103013
2024-10-29,13880.0,90724
2024-10-30,13780.0,70871
2024-10-31,13640.0,68943
2024-11-01,13580.0,43917
2024-11-04,13550.0,85741
2024-11-05,13600.0,48392
2024-11-06,13880.0,153504
2024-11-07,13985.0,78406
2024-11-08,14045.0,93169
2024-11-11,14080.0,103530
2024-11-12,14150.0,112769
2024-11-13,14035.0,106898
2024-11-14,14005.0,57653
2024-11-15,13880.0,84451
2024-11-18,13835.0,79646
2024-11-19,13870.0,67369
2024-11-20,13920.0,58220
2024-11-21,13925.0,69183
2024-11-22,14030.0,84364
2024-11-25,14125.0,117391
2024-11-26,14090.0,139460
2024-11-27,14110.0,78543
2024-11-28,14125.0,64241
2024-11-29,14135.0,70146
2024-12-02,14230.0,104874
2024-12-03,14300.0,132392
2024-12-04,14365.0,144114
2024-12-05,14465.0,187148
2024-12-06,14495.0,108548
2024-12-09,14645.0,143532
2024-12-10,14555.0,140884
2024-12-11,14525.0,73575
2024-12-12,14570.0,112696
2024-12-13,14535.0,176455
2024-12-16,14525.0,138522
2024-12-17,14530.0,157041
2024-12-18,14475.0,104821
2024-12-19,14225.0,199150
2024-12-20,14215.0,104635
2024-12-23,14365.0,140673
2024-12-24,14400.0,134472
2024-12-26,14570.0,151160
2024-12-27,14580.0,171487
2024-12-30,14555.0,184610
2025-01-02,14455.0,301707
2025-01-03,14415.0,167795
2025-01-06,14525.0,197557
2025-01-07,14470.0,175301
2025-01-08,14395.0,147049
2025-01-09,14405.0,103902
2025-01-10,14440.0,97775
2025-01-13,14260.0,181448
2025-01-14,14300.0,121912
2025-01-15,14280.0,115245
2025-01-16,14435.0,160018
2025-01-17,14465.0,131085
2025-01-20,14525.0,208067
2025-01-21,14430.0,173229
2025-01-22,14545.0,147221
2025-01-23,14530.0,112423
2025-01-24,14485.0,186644
2025-01-31,14655.0,239018
2025-02-03,14450.0,394787
2025-02-04,14540.0,259189
2025-02-05,14475.0,193774
2025-02-06,14640.0,139969
2025-02-07,14620.0,168562
2025-02-10,14605.0,197596
2025-02-11,14645.0,196826
2025-02-12,14660.0,168645
2025-02-13,14635.0,148150
2025-02-14,14725.0,195194
2025-02-17,14720.0,217626
2025-02-18,14750.0,154603
2025-02-19,14730.0,222723
2025-02-20,14670.0,160992
2025-02-21,14650.0,223621
2025-02-24,14530.0,186101
2025-02-25,14450.0,159823
2025-02-26,14480.0,144461
2025-02-27,14590.0,169010
2025-02-28,14560.0,156040
2025-03-04,14525.0,132835
2025-03-05,14430.0,112839
2025-03-06,14435.0,105576
2025-03-07,14355.0,154671
2025-03-10,14370.0,152421
2025-03-11,14210.0,607825
2025-03-12,14115.0,131978
2025-03-13,14095.0,173405
2025-03-14,14085.0,126329
