날짜,종가,거래량
2024-07-16,110290.0,58635
2024-07-17,110310.0,60237
2024-07-18,110335.0,109430
2024-07-19,110340.0,11459
2024-07-22,110345.0,9938
2024-07-23,110350.0,22250
2024-07-24,110370.0,11614
2024-07-25,110405.0,13351
2024-07-26,110415.0,16336
2024-07-29,110435.0,9232
2024-07-30,110460.0,15379
2024-07-31,110465.0,22317
2024-08-01,110490.0,5044
2024-08-02,110485.0,20951
2024-08-05,110510.0,18155
2024-08-06,110560.0,22187
2024-08-07,110545.0,60980
2024-08-08,110565.0,4863
2024-08-09,110595.0,36909
2024-08-12,110610.0,4326
2024-08-13,110615.0,6124
2024-08-14,110655.0,5233
2024-08-16,110660.0,12077
2024-08-19,110670.0,7158
2024-08-20,110685.0,11789
2024-08-21,110690.0,12540
2024-08-22,110720.0,2616
2024-08-23,110725.0,11649
2024-08-26,110750.0,5600
2024-08-27,110750.0,3909
2024-08-28,110755.0,5258
2024-08-29,110780.0,4135
2024-08-30,110790.0,5076
2024-09-02,110795.0,12112
2024-09-03,110810.0,16349
2024-09-04,110830.0,38123
2024-09-05,110860.0,17365
2024-09-06,110880.0,13597
2024-09-09,110890.0,10099
2024-09-10,110915.0,8822
2024-09-11,110925.0,5080
2024-09-12,110970.0,21494
2024-09-13,111000.0,10781
2024-09-19,111030.0,12787
2024-09-20,111035.0,6408
2024-09-23,111050.0,9682
2024-09-24,111065.0,7584
2024-09-25,111085.0,30928
2024-09-26,111115.0,11246
2024-09-27,111125.0,20684
2024-09-30,111150.0,18618
2024-10-02,111180.0,18623
2024-10-04,111190.0,7499
2024-10-07,111205.0,8983
2024-10-08,111200.0,9506
2024-10-10,111230.0,13426
2024-10-11,111245.0,9429
2024-10-14,111260.0,13267
2024-10-15,111275.0,7546
2024-10-16,111275.0,11533
2024-10-17,111295.0,19251
2024-10-18,111305.0,15249
2024-10-21,111305.0,11613
2024-10-22,111330.0,13718
2024-10-23,111335.0,7451
2024-10-24,111365.0,10188
2024-10-25,111370.0,7243
2024-10-28,111385.0,13105
2024-10-29,111390.0,15274
2024-10-30,111400.0,16697
2024-10-31,111425.0,4458
2024-11-01,111435.0,7818
2024-11-04,111445.0,5009
2024-11-05,111455.0,4540
2024-11-06,111465.0,8963
2024-11-07,111490.0,6858
2024-11-08,111500.0,7618
2024-11-11,111505.0,9000
2024-11-12,111515.0,12425
2024-11-13,111515.0,8420
2024-11-14,111535.0,7056
2024-11-15,111540.0,18932
2024-11-18,111550.0,17998
2024-11-19,111565.0,4054
2024-11-20,111575.0,7536
2024-11-21,111600.0,7487
2024-11-22,111610.0,6439
2024-11-25,111635.0,13957
2024-11-26,111635.0,12135
2024-11-27,111645.0,21206
2024-11-28,111680.0,10940
2024-11-29,111730.0,16390
2024-12-02,111745.0,14144
2024-12-03,111735.0,6508
2024-12-04,111755.0,22404
2024-12-05,111775.0,16027
2024-12-06,111775.0,52648
2024-12-09,111790.0,10310
2024-12-10,111805.0,22254
2024-12-11,111795.0,6485
2024-12-12,111825.0,17764
2024-12-13,111840.0,12983
2024-12-16,111860.0,6235
2024-12-17,111855.0,14633
2024-12-18,111875.0,12717
2024-12-19,111890.0,21836
2024-12-20,111905.0,14512
2024-12-23,111925.0,12761
2024-12-24,111930.0,11835
2024-12-26,111935.0,13758
2024-12-27,111960.0,18598
2024-12-30,111965.0,12514
2025-01-02,112040.0,13763
2025-01-03,112030.0,18528
2025-01-06,112050.0,11166
2025-01-07,112055.0,24270
2025-01-08,112070.0,7146
2025-01-09,112095.0,6702
2025-01-10,112105.0,27913
2025-01-13,112110.0,5588
2025-01-14,112125.0,16653
2025-01-15,112130.0,15794
2025-01-16,112140.0,8467
2025-01-17,112175.0,12762
2025-01-20,112170.0,10772
2025-01-21,112180.0,4764
2025-01-22,112185.0,7048
2025-01-23,112230.0,6399
2025-01-24,112245.0,9025
2025-01-31,112270.0,11388
2025-02-03,112285.0,15016
2025-02-04,112290.0,16051
2025-02-05,112295.0,8114
2025-02-06,112315.0,7629
2025-02-07,112320.0,13782
2025-02-10,112335.0,6007
2025-02-11,112340.0,15294
2025-02-12,112350.0,4720
2025-02-13,112380.0,7025
2025-02-14,112390.0,10102
2025-02-17,112400.0,7233
2025-02-18,112405.0,6065
2025-02-19,112405.0,5929
2025-02-20,112440.0,8671
2025-02-21,112455.0,6355
2025-02-24,112460.0,13853
2025-02-25,112470.0,6294
2025-02-26,112485.0,8034
2025-02-27,112510.0,17656
2025-02-28,112515.0,15025
2025-03-04,112520.0,274495
2025-03-05,112540.0,5542
2025-03-06,112555.0,3638
2025-03-07,112570.0,13878
2025-03-10,112575.0,6251
2025-03-11,112575.0,13772
2025-03-12,112590.0,21899
2025-03-13,112615.0,14341
2025-03-14,112605.0,20124
